id,name,icao,iata,base,handler,taxi_in_minutes,taxi_out_minutes,callsign_parameters,aircraft_types,load_factor,containers,delete
,Tenerife Sur Airport,GCTS,TFS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Tirana International Airport Mother Teresa,LATI,TIA,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Alicante-Elche Miguel Hernández Airport,LEAL,ALC,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Varna Airport,LBWN,VAR,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Sofia Airport,LBSF,SOF,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Burgas Airport,LBBG,BOJ,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Zagreb Airport,LDZA,ZAG,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Palma de Mallorca Airport,LEPA,PMI,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Ibiza Airport,LEIB,IBZ,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Adolfo Suárez Madrid–Barajas Airport,LEMD,MAD,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Málaga-Costa del Sol Airport,LEMG,AGP,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Josep Tarradellas Barcelona-El Prat Airport,LEBL,BCN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Bordeaux-Mérignac Airport,LFBD,BOD,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Santiago-Rosalía de Castro Airport,LEST,SCQ,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Toulouse-Blagnac Airport,LFBO,TLS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Lyon Saint-Exupéry Airport,LFLL,LYS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Nice-Côte d'Azur Airport,LFMN,NCE,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Marseille Provence Airport,LFML,MRS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Charles de Gaulle International Airport,LFPG,CDG,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Paris-Orly Airport,LFPO,ORY,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,EuroAirport Basel-Mulhouse-Freiburg Airport,LFSB,BSL,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Thessaloniki Macedonia International Airport,LGTS,SKG,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Athens Eleftherios Venizelos International Airport,LGAV,ATH,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Heraklion International Nikos Kazantzakis Airport,LGIR,HER,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Brindisi Airport,LIBR,BDS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Bari Karol Wojtyła Airport,LIBD,BRI,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Catania-Fontanarossa Airport,LICC,CTA,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Falcone–Borsellino Airport,LICJ,PMO,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Budapest Liszt Ferenc International Airport,LHBP,BUD,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Cagliari Elmas Airport,LIEE,CAG,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
